filename,model_index,val_accuracy
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_080,79,0.62
comps_50_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_073,72,0.63
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_072,71,0.49
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_023,22,0.49
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_086,85,0.56
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_092,91,0.60
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_098,97,0.60
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_061,60,0.63
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_029,28,0.49
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_023,22,0.50
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_076,75,0.60
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_099,98,0.60
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_082,81,0.58
comps_50_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_099,98,0.64
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_058,57,0.61
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_073,72,0.61
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,97,0.68
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_080,79,0.69
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_097,96,0.69
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_095,94,0.71
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_043,42,0.54
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_034,33,0.55
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_068,67,0.61
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_045,44,0.62
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_062,61,0.63
comps_60_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_063,62,0.64
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_048,47,0.49
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_048,47,0.49
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_098,97,0.57
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_083,82,0.58
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_076,75,0.57
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_098,97,0.65
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_048,47,0.50
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_034,33,0.50
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_098,97,0.56
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_099,98,0.61
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_072,71,0.59
comps_60_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_078,77,0.64
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_058,57,0.61
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_039,38,0.61
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,97,0.68
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_097,96,0.69
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_128_097,96,0.70
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_2_dense-size_256_092,91,0.70
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_128_044,43,0.55
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_0_dense-size_256_043,42,0.55
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_128_063,62,0.63
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_1_dense-size_256_095,94,0.63
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_128_095,94,0.63
comps_70_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_1_denses_2_dense-size_256_095,94,0.64
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_128_046,45,0.50
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_0_dense-size_256_065,64,0.50
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_128_076,75,0.57
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_1_dense-size_256_085,84,0.59
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_128_085,84,0.61
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_0_freezed_1_denses_2_dense-size_256_075,74,0.65
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_128_032,31,0.51
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_0_dense-size_256_027,26,0.51
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_128_096,95,0.57
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_1_dense-size_256_100,99,0.58
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_128_097,96,0.62
comps_70_dataset_FMNIST_method_svd_normalized1_1_normalized2_1_freezed_1_denses_2_dense-size_256_098,97,0.61
comps_80_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_058,57,0.61
